ensembl_transcript_id	external_gene_name
ENST00000772557	
ENST00000772558	
ENST00000803246	
ENST00000803247	
ENST00000611690	5_8S_rRNA
ENST00000611446	RNA5-8SN5
ENST00000724920	
ENST00000724921	
ENST00000724922	
ENST00000724923	
ENST00000724924	
ENST00000620795	
ENST00000823014	
ENST00000743439	
ENST00000619779	5_8S_rRNA
ENST00000400754	MAFIP
ENST00000621424	
ENST00000615165	
ENST00000614535	
ENST00000835177	
ENST00000729673	
ENST00000729674	
ENST00000729675	
ENST00000729676	
ENST00000729677	
ENST00000729678	
ENST00000729679	
ENST00000729680	
ENST00000729681	
ENST00000729682	
ENST00000729683	
ENST00000729684	
ENST00000729685	
ENST00000729686	
ENST00000729687	
ENST00000729688	
ENST00000729689	
ENST00000729690	
ENST00000740255	
ENST00000740256	
ENST00000740257	
ENST00000740258	
ENST00000740259	
ENST00000749345	
ENST00000749346	
ENST00000749347	
ENST00000749348	
ENST00000749349	
ENST00000749350	
ENST00000749351	
ENST00000757881	
ENST00000757882	
ENST00000757883	
ENST00000757884	
ENST00000757885	
ENST00000757886	
ENST00000757887	
ENST00000757888	
ENST00000757889	
ENST00000757890	
ENST00000757891	
ENST00000757892	
ENST00000757893	
ENST00000757894	
ENST00000757895	
ENST00000757896	
ENST00000757897	
ENST00000757898	
ENST00000757899	
ENST00000768434	
ENST00000768435	
ENST00000768436	
ENST00000768437	
ENST00000768438	
ENST00000768439	
ENST00000768440	
ENST00000768441	
ENST00000768442	
ENST00000768443	
ENST00000768444	
ENST00000768445	
ENST00000768446	
ENST00000768447	
ENST00000768448	
ENST00000768451	
ENST00000768453	
ENST00000768454	
ENST00000741285	
ENST00000741286	
ENST00000811422	
ENST00000811423	
ENST00000811424	
ENST00000811425	
ENST00000820381	
ENST00000820382	
ENST00000820383	
ENST00000820384	
ENST00000820385	
ENST00000820386	
ENST00000820387	
ENST00000820388	
ENST00000820389	
ENST00000820390	
ENST00000820391	
ENST00000820392	
ENST00000820393	
ENST00000820394	
ENST00000820395	
ENST00000820396	
ENST00000820397	
ENST00000820398	
ENST00000820399	
ENST00000820400	
ENST00000820401	
ENST00000820402	
